wine_name,viticultural_domain,grape_variety,region,wine_style,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Le Renard Pinot Noir Bourgogne 2018,Devillard,Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",36 notes,€14,https://images.vivino.com/thumbs/t2tsMKunSTGHo7FSaCu0Cg_pb_x600.png,https://www.vivino.com/FR/fr/aanda-devillard-le-renard-pinot-noir-bourgogne/w/1771272?year=2018&price_id=25626577
Coteaux Bourguignons La Superbe 2019,Mongeard-Mugneret,"Gamay, Pinot Noir",France / Bourgogne / Coteaux Bourguignons,,,sulfites,,"4,1",37 notes,"€14,85",https://images.vivino.com/thumbs/GvCvaql4QHy-3myl_nn2aw_150x200.jpg,https://www.vivino.com/FR/fr/mongeard-mugneret-coteaux-bourguignons-la-superbe/w/779341?year=2019&price_id=23814395
Mâcon-Péronne 2019,Domaine du Mont-Epin,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Péronne,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",35 notes,"€12,98",https://images.vivino.com/thumbs/AfgmpIvJT4OOMOO0nuPNnw_pb_x600.png,https://www.vivino.com/FR/fr/domaine-du-mont-epin-macon-peronne/w/5791454?year=2019&price_id=25507289
Mercurey 2017,Pigneret Fils,Chardonnay,France / Bourgogne / Côte Chalonnaise / Mercurey,Bourgogne-Côte Chalonnaise blanc,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,1",29 notes,"€13,50",https://images.vivino.com/thumbs/LkEtVSO3TFSLRWW_GmGzKQ_150x200.jpg,https://www.vivino.com/FR/fr/pigneret-fils-mercurey/w/6408005?year=2017&price_id=24341001
Coup de Foudre Bourgogne Hautes-Côtes de Nuits 2019,Domaine Bonnardot,Pinot Noir,France / Bourgogne / Bourgogne Hautes-Côtes de Nuits,Côte de Nuits rouge,,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",25 notes,"€14,60",https://images.vivino.com/thumbs/mCkIAHCHSCq0vTgy0rJ7lg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-bonnardot-coup-de-foudre-bourgogne-hautes-cotes-de-nuits/w/4684709?year=2019&price_id=23152740
Crémant de Bourgogne Brut Rosé N.V.,Cave de Lugny,100 % Gamay,France / Bourgogne / Crémant de Bourgogne,Crémant (France),11.5 %,"sulfites, allergènes (œufs), allergènes (lait)","Crustacés,Volaille,Apéritif et snacks,Poisson maigre,Apéritif","4,0",524 notes,NA,https://images.vivino.com/thumbs/xJ7Lt5oaT2u4BFtMsHZ7cg_pb_x600.png,https://www.vivino.com/FR/fr/cave-de-lugny-cremant-de-bourgogne-brut-rose/w/1261600?price_id=21210295
Petit Chablis 2018,Domaine Hamelin,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",468 notes,"€12,90",https://images.vivino.com/thumbs/NM8RxthyT_mL6LD0K5nGbw_pb_x600.png,https://www.vivino.com/FR/fr/domaine-hamelin-petit-chablis/w/1192506?year=2018&price_id=19375331
Vive-la-Joie Brut 2013,Bailly Lapierre,"Chardonnay, Pinot Noir",France / Bourgogne / Crémant de Bourgogne,Crémant (France),12 %,sulfites,"Crustacés,Volaille,Apéritif et snacks,Poisson maigre,Apéritif","4,0",277 notes,"€15,20",https://images.vivino.com/thumbs/x7qP1X_-R8G0_rKY6SP_Qw_pb_x600.png,https://www.vivino.com/FR/fr/bailly-lapierre-vive-la-joie-brut/w/1488421?year=2013&price_id=20396668
Chablis 2019,Domaine Nathalie et Gilles Fevre,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",255 notes,"€14,50",https://images.vivino.com/thumbs/lGZGWSziRfGmr6mJ_9UZWg_pb_x600.png,https://www.vivino.com/FR/fr/fr-domaine-nathalie-et-gilles-fevre-chablis/w/1230816?year=2019&price_id=23307672
Bouzeron 2019,Louis Jadot - Domaine Gagey,100 % Aligoté,France / Bourgogne / Côte Chalonnaise / Bouzéron,Bourgogne-Côte Chalonnaise blanc,13 %,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,0",197 notes,"€13,60",https://images.vivino.com/thumbs/t0wAVH0KTRCRX4qp3OZHMA_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-domaine-gagey-bouzeron/w/2716649?year=2019&price_id=25709017
